,郵遞區號,電腦局號,局名,電腦局名,局址,郵務電話,儲匯電話
,100003,000100-6000500-8,"臺北北門郵局
臺北北門郵局",臺北901支,臺北市中正區忠孝西路一段120號1樓,(02)2361-5752,(02)2381-3135
,100016,000101-0,"臺北東門郵局
臺北東門郵局",臺北1支,臺北市中正區信義路二段163號,(02)2394-7576,(02)2321-4679
,108207,000102-3,"臺北漢中街郵局
臺北漢中街郵局",臺北2支,臺北市萬華區漢中街173號,(02)2361-6809,(02)2331-4069
,108010,000103-7,"臺北西園郵局
臺北西園郵局",臺北3支,臺北市萬華區長沙街二段156、158、160、162號,(02)2331-4524,
,100056,000105-4,"臺北南海郵局
臺北南海郵局",臺北5支,臺北市中正區重慶南路二段43號(郵政博物館1樓),(02)2396-3142,(02)2321-4189
,100053,000106-8,"臺北螢橋郵局
臺北螢橋郵局",臺北6支,臺北市中正區廈門街76號,(02)2368-4714,(02)2367-0905
,106203,000107-1,"臺北青田郵局
臺北青田郵局",臺北7支,臺北市大安區和平東路一段155號,(02)2321-4288,(02)2321-8001
,100009,000108-5,"臺北復興橋郵局
臺北復興橋郵局",臺北8支,臺北市中正區忠孝西路一段1號,(02)2311-4421,
,104202,000109-9,"臺北中山郵局
臺北中山郵局",臺北9支,臺北市中山區中山北路一段142號,(02)2542-6403,(02)2542-5934
,103210,000110-1,"臺北迪化街郵局
臺北迪化街郵局",臺北10支,臺北市大同區迪化街一段38號,(02)2556-0519,(02)2556-0631
,103211,000111-4,"臺北圓環郵局
臺北圓環郵局",臺北11支,臺北市大同區重慶北路二段15號,(02)2556-1703,(02)2559-2168
,100211,000112-8,"行政院郵局
行政院郵局",臺北12支,臺北市中正區北平東路2號(行政院內),(02)2321-4874,
,100046,000113-1,"臺北公館郵局
臺北公館郵局",臺北13支,臺北市中正區羅斯福路四段74號(B1),(02)2365-9518,(02)2368-8574
,100006,000114-5,"國史館郵局
國史館郵局",臺北14支,臺北市中正區博愛路168號之1(國史館1樓),(02)2331-0962,(02)2311-7879
,100004,000115-9,"總統府郵局
總統府郵局",臺北15支,臺北市中正區重慶南路一段122號(總統府內),(02)2311-0859,
,104218,000117-6,"臺北雙連郵局
臺北雙連郵局",臺北17支,臺北市中山區中山北路二段96號,(02)2541-4332,(02)2523-6846
,105047,000118-0,"臺北松山郵局
臺北松山郵局",臺北18支,臺北市松山區八德路四段626號,(02)2767-4928,(02)8787-9193
,100205,000120-5,"臺北法院郵局
臺北法院郵局",臺北20支,臺北市中正區博愛路127號(司法大廈內),(02)2331-4925,(02)2311-3025
,103221,000121-9,"臺北臺北橋郵局
臺北臺北橋郵局",臺北21支,臺北市大同區民權西路246號,(02)2557-8538,(02)2550-2821
,106209,000122-2,"臺北師大郵局
臺北師大郵局",臺北22支,臺北市大安區和平東路一段162號(師範大學內，師範大學與師大路皆可進出),(02)2363-5053,
,106216,000123-6,"臺大郵局
臺大郵局",臺北23支,臺北市大安區羅斯福路四段1號(台灣大學內),(02)2363-3435,
,106240,000124-0,"臺北仁愛路郵局
臺北仁愛路郵局",臺北24支,臺北市大安區仁愛路三段47號,(02)2771-1497,(02)2752-4551
,100222,000125-3000506-0,"立法院郵局
立法院郵局",臺北25支,臺北市中正區濟南路一段1號(立法院旁),(02)2391-7844,(02)2321-9814
,106096,000126-7,"臺北信維郵局
臺北信維郵局",臺北26支,臺北市大安區信義路四段101號,(02)2707-7130,(02)2708-3670
,104282,000127-1,"臺北建北郵局
臺北建北郵局",臺北27支,臺北市中山區建國北路二段33號,(02)2502-0944,(02)2504-1943
,111011,000128-4000507-3,"士林郵局
士林郵局",臺北28支,臺北市士林區文林路162號,(02)2881-8743,(02)2881-2535
,116052,000129-8,"文山景美郵局
文山景美郵局",臺北29支,臺北市文山區羅斯福路六段389號,(02)2931-2010,(02)2932-3411
,100037,000130-0,"臺北古亭郵局
臺北古亭郵局",臺北30支,臺北市中正區南昌路二段232號,(02)2367-2165,(02)2368-2923
,108240,000131-3,"臺北東園郵局
臺北東園郵局",臺北31支,臺北市萬華區東園街148、150號,(02)2309-9202,(02)2303-8013
,106236,000132-7,"臺北光華郵局
臺北光華郵局",臺北32支,臺北市大安區新生北路一段7之2號,(02)2741-0600,(02)2731-5570
,100007,000133-1,"臺北南陽郵局
臺北南陽郵局",臺北33支,臺北市中正區信陽街8號,(02)2361-3711,(02)2375-4227
,104102,000134-4,"臺北中崙郵局
臺北中崙郵局",臺北34支,臺北市中山區復興北路40號,(02)2771-1401,(02)2772-5405
,108228,000135-8000508-7,"臺北莒光郵局
臺北莒光郵局",臺北35支,臺北市萬華區莒光路210號,(02)2302-4644,(02)2302-4649
